id,Student_ID,Position_ID
1,35,21
2,15,11
3,8,14
4,20,5
5,4,3
6,28,1
7,32,26
8,39,37
9,25,20
10,29,30
11,14,19
12,13,40
13,26,35
14,9,7
15,5,13
16,37,12
17,2,15
18,23,6
19,15,4
20,6,29
21,19,37
22,11,12
23,16,20
24,38,9
25,7,33
26,18,39
27,8,22
28,4,37
29,33,12
30,5,11
31,2,14
32,30,10
33,22,22
34,12,14
35,36,27
36,38,19
37,1,28
38,12,1
39,28,29
40,24,37
41,14,16
42,19,19
43,22,30
44,24,20
45,38,27
46,39,33
47,23,40
48,33,22
49,5,9
50,11,14
51,35,27
52,17,36
53,9,14
54,28,13
55,15,10
56,28,3
57,6,26
58,18,5
59,14,16
60,30,33
61,22,35
62,23,19
63,37,36
64,14,2
65,3,33
66,23,20
67,6,24
68,20,38
69,39,16
70,39,40
71,28,11
72,20,31
73,18,28
74,38,21
75,2,32
76,12,14
77,2,13
78,40,34
79,14,21
80,25,32
81,9,22
82,28,18
83,38,16
84,15,10
85,2,14
86,11,23
87,24,26
88,6,20
89,24,36
90,9,8
91,19,5
92,2,31
93,9,15
94,6,5
95,16,16
96,37,12
97,13,30
98,4,35
99,36,23
100,28,36
