id,Name
1,Western State University College of Law - Orange County
2,Bahcesehir University
3,Istanbul University
4,Kazan State Music Conservatory
5,Ecole Nationale d'Administration
6,Tohoku Gakuin University
7,Technological Education Institute of Patras
8,Rajasthan Technical University
9,Tokai Women's College
10,Afghan University
11,Université de N'Djamena
12,"Long Island University, C.W. Post Campus"
13, Université de Nouakchott
14,Universidad Técnica de Oruro
15,University of New York Tirana
16,Kansai Medical University
17,Karwan Institute of Higher Education
18,Harding University
19,Universidade Católica de Brasília
20,Hashemite University
21,"Evangelische Fachhochschule Reutlingen-Ludwigsburg, Hochschule für Soziale Arbeit, Religionspädagogik und Diakonie"
22,Moscow State University M.V. Lomonosov
23,PSG College of Technology
24,Katholische Fachhochschule Norddeutschland
25,College of Aeronautics
26,Universidade Estadual de Maringá
27,Fachhochschule Münster
28,Warner Southern College
29,Ibn Sina National College for Medical Studies 
30,University of Chicago
31,Université Bordeaux I
32,Agricultural University of Tirane
33,University of Palestine
34,Prince of Songkla University
35,Universidad Dr. Rafael Belloso Chacín
36,Punjab Institute of Computer science
37,United States Sports Academy
38,Allen University
39,Nanjing Forestry University
40,Chiba University of Commerce
