id,Name
1,Statistics
2,Ecology
3,STEM-Oriented Minors
4,Bioinformatics
5,Neuroscience
6,Cognitive Science
7,Astronomy
8,Mathematics
9,Virtual Reality
10,Chemical Engineering
11,Cognitive Science
12,Statistics
13,Aerospace Engineering
14,Artificial Neural Networks
15,Data Science
16,STEM-Oriented Minors
17,Mathematics
18,Game Development
19,Nanotechnology
20,Blockchain Technology
21,Chemical Engineering
22,Game Development
23,Human-Computer Interaction
24,Astronomy
25,Data Science
26,Aerospace Engineering
27,Bioethics
28,Renewable Energy
29,Ecology
30,STEM-Oriented Minors
31,Geophysics
32,Artificial Neural Networks
33,Software Engineering
34,Cybersecurity
35,Statistics
36,Aerospace Engineering
37,Chemical Engineering
38,Environmental Science
39,Renewable Energy
40,Renewable Energy
